単語,意味,品詞,出典_ミニラボ,出典_英検5級,出典_まぶたん,優先度,発音記号
call,呼ぶ・電話をかける,動,Unit1,,,🟡,kɔːl
love,愛する,動,Unit1,,,🟡,lʌv
fan,ファン,名,Unit1,,,🟢,fæn
often,しばしば・よく,副,Unit1,,,🟢,ɔːfn
with,〜といっしょに,前,Unit1,,,🟡,wɪð
but,しかし,接,Unit1,,,🟡,bʌt
draw,引く・描く,動,Unit1,,,🟢,drɔː
so,それで・では,接,Unit1,,,🟡,soʊ
about,〜について,前,Unit1,,,🟡,əbáʊt
lesson,授業・レッスン,名,Unit1,,,🟢,lésn
class,学級・授業,名,Unit2,,,🟡,klæs
our,私たちの,代,Unit2,,,🟡,áʊər
cannot,canの否定形,否,Unit2,,,🟡,kǽnɑt
some,いくつかの,形,Unit2,,,🟡,sʌm
parent,親,名,Unit2,,,🟢,péərənt
excuse,許す,動,Unit2,,,🟢,ɪkskjúːz
here,さあ・ここに,副,Unit2,,,🟡,hɪər
welcome,歓迎されて,形,Unit2,,,🟡,wélkəm
symbol,象徴・記号,名,Unit3,,,🟢,símbl
interesting,興味深い,形,Unit3,,,🟡,íntərəstɪŋ
favorite,好きな,形,Unit3,,No.126-150,🔴,féɪvərɪt
character,登場人物,名,Unit3,,,🟢,kærɪktər
also,〜もまた,副,Unit3,,No.151-200,🔴,ɔːlsoʊ
around,〜のまわりに,前,Unit3,,,🟢,əráʊnd
after,〜のあとに,前,Unit3,,,🟡,æftər
online,オンラインで,副,Unit3,,,🟢,ánlàɪn
luck,幸運,名,Unit3,,,🟢,lʌk
near,〜の近くに,前,Unit3,,,🟡,nɪər
puppy,子犬,名,Unit4,,,🟢,pʌpi
someday,いつの日か,副,Unit4,,,🟢,sʌmdèɪ
they,彼らは,代,Unit4,,,🟡,ðeɪ
noon,正午,名,Unit4,,,🟢,nuːn
last,最後の・この前の,形,Unit4,,,🟡,læst
like,〜のような,前,Unit4,,No.51-100,🔴,láɪk
nervous,緊張して,形,Unit4,,,🟢,nɑːrvəs
worry,心配する,動,Unit4,,,🟡,wɑːri
sheep,羊,名,Unit4,,,🟢,ʃiːp
right,正しい,形,Unit4,,,🟡,ráɪt
as,〜として,前,Unit5,,,🟡,æz
tour,遠征・観光,名,Unit5,,,🟢,túər
guide,案内人,名,Unit5,,,🟢,gáɪd
write,書く,動,Unit5,,No.126-150,🔴,ráɪt
blog,ブログ,名,Unit5,,,🟢,blɑg
local,地元の,形,Unit5,,,🟢,lóʊkl
beautiful,美しい,形,Unit5,,No.126-150,🔴,bjúːtəfl
spot,地点・場所,名,Unit5,,,🟢,spɑt
his,彼の,代,Unit5,,,🟡,híz
any,何か・何も,形,Unit5,,,🟡,éni
does,doの3人称単数,助,Unit5,,,🟡,dʌz
has,haveの3人称単数,動,Unit5,,,🟡,hæz
there,そこに,副,Unit5,,,🟡,ðéər
surf,波乗りする,動,Unit5,,,🟢,sɜːrf
life,生活・人生,名,Unit5,,,🟡,láɪf
popular,人気のある,形,Unit5,,No.151-175,🔴,pʌpjələr
know,知っている,動,Unit5,,No.76-100,🔴,nóʊ
wonderful,すばらしい,形,Unit5,,,🟡,wʌndərfl
him,彼を,代,Unit6,,,🟡,hɪm
say,言う,動,Unit6,,,🟡,séɪ
everything,すべてのもの,代,Unit6,,,🟡,évriθɪŋ
show,ショー,名,Unit6,,,🟡,ʃoʊ
her,彼女を,代,Unit6,,,🟡,hɑːr
together,いっしょに,副,Unit6,,No.201-225,🔴,təgéðər
minute,分,名,Unit6,,,🟡,mínɪt
wait,待つ,動,Unit6,,,🟡,wéɪt
whose,だれの,代,Unit6,,,🟡,húːz
maybe,もしかすると,副,Unit6,,,🟡,méɪbiː
careful,注意深い,形,Unit6,,,🟡,kéərfl
history,歴史,名,Unit6,,,🟢,hɪstəri
still,今もまだ,副,Unit6,,,🟡,stɪl
different,ちがった,形,Unit6,,,🟡,dɪfərənt
use,使う,動,Unit6,,No.101-150,🔴,júːz
only,ただ〜だけ,副,Unit6,,No.151-175,🔴,óʊnli
which,どちらの,形,Unit6,,,🟡,hwɪtʃ
large,大きい,形,Unit6,,No.151-175,🔴,lɑːrdʒ
collection,収集,名,Unit6,,,🟢,kəlékʃn
open,開ける,動,Unit6,,,🟡,óʊpn
close,閉める,動,Unit6,,,🟡,klóʊz
window,窓,名,Unit6,,No.26-50,🔴,wíndoʊ
sure,確かに,副,Unit6,,No.201-225,🔴,ʃúər
problem,問題,名,Unit6,,,🟡,prɑbləm
dark,暗い,形,Unit6,,,🟡,dɑːrk
light,明かり,名,Unit6,,,🟡,láɪt
borrow,借りる,動,Unit6,,,🟢,bárou
tomorrow,明日,副,Unit7,,,🟡,təmɑroʊ
plan,計画,名,Unit7,,,🟡,plæn
free,空いている,形,Unit7,,,🟡,friː
mean,意味する,動,Unit7,,,🟡,miːn
forward,前へ,副,Unit7,,,🟢,fɔːrwərd
market,市場,名,Unit7,,,🟢,mɑːrkɪt
souvenir,お土産,名,Unit7,,,🟢,sùːvəníər
place,場所,名,Unit7,,,🟡,pléɪs
appear,現れる,動,Unit7,,,🟢,əpɪər
those,あれらの,形,Unit7,,,🟡,ðóʊz
dad,お父さん,名,Unit7,,,🟡,dæd
travel,旅行する,動,Unit7,,,🟡,trǽvl
angry,怒った,形,Unit7,,,🟢,ǽŋgri
palace,宮殿,名,Unit7,,,🟢,pælis
exciting,わくわくさせる,形,Unit7,,,🟡,ɪksáɪtɪŋ
late,遅れた,形,Unit7,,No.151-175,🔴,léɪt
pardon,許す,動,Unit7,,,🟢,pɑːrdn
along,〜に沿って,前,Unit7,,,🟢,əlɔːŋ
street,通り,名,Unit7,,,🟡,striːt
straight,まっすぐに,副,Unit7,,,🟢,stréɪt
factory,工場,名,Unit7,,,🟢,fǽktəri
ethnic,民族の,形,Unit8,,,🟢,éθnɪk
volunteer,ボランティア,名,Unit8,,,🟢,vɑləntíər
need,必要,名,Unit8,,No.76-100,🔴,niːd
teach,教える,動,Unit8,,No.101-125,🔴,tiːtʃ
try,試す,動,Unit8,,,🟡,tráɪ
best,最善,名,Unit8,,,🟡,bést
respect,尊敬する,動,Unit8,,,🟡,rɪspékt
become,〜になる,動,Unit8,,,🟡,bɪkʌm
reduce,減らす,動,Unit8,,,🟢,rɪdjúːs
waste,無駄・ごみ,名,Unit8,,,🟡,wéɪst
plastic,プラスチックの,形,Unit8,,,🟡,plǽstɪk
paper,紙,名,Unit8,,,🟡,péɪpər
original,元の・独自の,形,Unit8,,,🟡,ərídʒənl
reusable,再利用できる,形,Unit8,,,🟢,riːjúːzəbl
village,村,名,Unit8,,,🟡,vílidʒ
collect,集める,動,Unit8,,,🟡,kəlékt
far,遠い,形,Unit8,,,🟡,fɑːr
group,集団,名,Unit8,,,🟡,grúːp
build,建てる,動,Unit8,,,🟡,bɪld
money,お金,名,Unit8,,,🟡,mʌni
would,willの過去形,助,Unit8,,,🟡,wʊd
anything,何か,代,Unit8,,,🟡,énɪθɪŋ
full,いっぱいの,形,Unit8,,,🟡,fʊl
voice,声,名,Unit8,,,🟢,vɔɪs
concert,演奏会,名,Unit8,,,🟢,kɑnsərt
stage,舞台,名,Unit8,,,🟢,stéɪdʒ
performance,演技・公演,名,Unit8,,,🟢,pərfɔːrməns
again,もう一度,副,Unit8,,,🟡,əgén
back,戻って,副,Unit9,,,🟡,bæk
during,〜の間,前,Unit9,,,🟡,djúərɪŋ
stay,滞在する,動,Unit9,,,🟡,stéɪ
relax,くつろぐ,動,Unit9,,,🟢,rɪlǽks
traditional,伝統的な,形,Unit9,,,🟡,trədɪʃənl
special,特別な,形,Unit9,,,🟡,spéʃl
grandparent,祖父母,名,Unit9,,,🟡,grǽndpèərənt
spend,費やす,動,Unit9,,,🟡,spénd
dear,親愛なる,形,Unit9,,,🟡,díər
ski,スキーをする,動,Unit9,,,🟢,skiː
snow,雪,名,Unit9,,,🟡,snóʊ
outside,外側で,副,Unit9,,,🟡,àʊtsáɪd
miss,〜がいないのを寂しく思う,動,Unit9,,,🟢,mɪs
care,注意・世話,名,Unit9,,,🟡,kéər
remember,思い出す,動,Unit10,,,🟡,rɪmémbər
bored,退屈した,形,Unit10,,,🟢,bɔːrd
realize,悟る,動,Unit10,,,🟢,ríːələɪz
mistake,まちがい,名,Unit10,,,🟡,mɪstéɪk
anyone,だれでも,代,Unit10,,,🟡,énɪwʌn
anyway,とにかく,副,Unit10,,,🟢,énɪweɪ
bring,持ってくる,動,Unit10,,,🟡,brɪŋ
heart,心臓・心,名,Unit10,,,🟡,hɑːrt
beat,打つ,動,Unit10,,,🟢,biːt
way,道・方法,名,Unit10,,,🟡,wéɪ
each,それぞれの,形,Unit10,,,🟡,iːtʃ
trip,旅行,名,Unit10,,,🟡,trɪp
hot spring,温泉,名,Unit10,,,🟢,hɑt sprɪŋ
wrong,まちがった,形,Unit10,,,🟡,rɔːŋ
stomachache,腹痛,名,Unit10,,,🟢,stʌməkèɪk
before,〜の前に,前,Unit10,,,🟡,bɪfɔːr
medicine,薬,名,Unit10,,,🟡,médəsn
rest,休息,名,Unit10,,,🟡,rést
headache,頭痛,名,Unit10,,,🟢,hédèɪk
fever,熱,名,Unit10,,,🟢,fíːvər
teacher,先生,名,,No.1-25,,🔴,tíːtʃər
brother,兄弟,名,,No.1-25,,🔴,brʌðər
father,お父さん,名,,No.1-25,,🔴,fɑːðər
animal,動物,名,,No.1-25,,🔴,ǽnɪml
classroom,教室,名,,No.1-25,,🔴,klǽsruːm
chair,椅子,名,,No.1-25,,🔴,tʃéər
flower,花,名,,No.1-25,,🔴,fláʊər
bird,鳥,名,,No.1-25,,🔴,bɜːrd
friend,友達,名,,No.1-25,,🔴,frénd
children,子どもたち,名,,No.1-25,,🔴,tʃɪldrən
station,駅,名,,No.26-50,,🔴,stéɪʃn
train,電車,名,,No.26-50,,🔴,tréɪn
spring,春,名,,No.26-50,,🔴,sprɪŋ
park,公園,名,,No.26-50,,🔴,pɑːrk
room,部屋,名,,No.26-50,,🔴,ruːm
math,数学,名,,No.26-50,,🔴,mæθ
baseball,野球,名,,No.26-50,,🔴,béɪsbɔːl
picture,絵・写真,名,,No.26-50,,🔴,píktʃər
school,学校,名,,No.26-50,,🔴,skuːl
girl,女の子,名,,No.1-50,,🔴,gɜːrl
car,車,名,,No.1-50,,🔴,kɑːr
family,家族,名,,No.1-50,,🔴,fǽməli
movie,映画,名,,No.1-50,,🔴,múːvi
textbook,教科書,名,,No.1-50,,🔴,tékstbʊk
sister,姉妹,名,,No.1-50,,🔴,sɪstər
mother,お母さん,名,,No.1-50,,🔴,mʌðər
color,色,名,,No.51-75,,🔴,kʌlər
buy,買う,動,,No.51-75,,🔴,báɪ
birthday,誕生日,名,,No.51-75,,🔴,bɜːrθdèɪ
come,来る,動,,No.51-75,,🔴,kʌm
breakfast,朝食,名,,No.51-75,,🔴,brékfəst
time,時間,名,,No.51-75,,🔴,táɪm
cry,泣く,動,,No.51-75,,🔴,kráɪ
cut,切る,動,,No.51-75,,🔴,kʌt
begin,始める,動,,No.51-75,,🔴,bɪgín
ask,尋ねる,動,,No.51-75,,🔴,æsk
live,住む,動,,No.76-100,,🔴,lɪv
eat,食べる,動,,No.76-100,,🔴,iːt
hear,聞く,動,,No.76-100,,🔴,hɪər
give,与える,動,,No.76-100,,🔴,gɪv
find,見つける,動,,No.76-100,,🔴,fáɪnd
enjoy,楽しむ,動,,No.76-100,,🔴,ɪndʒɔɪ
have,持っている,動,,No.76-100,,🔴,hæv
do,する,動,,No.76-100,,🔴,duː
help,助ける,動,,No.51-100,,🔴,hélp
get,得る,動,,No.51-100,,🔴,gét
month,月,名,,No.51-100,,🔴,mʌnθ
make,作る,動,,No.51-100,,🔴,méɪk
music,音楽,名,,No.51-100,,🔴,mjúːzɪk
listen,聞く,動,,No.51-100,,🔴,lísn
meet,会う,動,,No.51-100,,🔴,míːt
year,年,名,,No.51-100,,🔴,jɪər
sing,歌う,動,,No.101-125,,🔴,sɪŋ
read,読む,動,,No.101-125,,🔴,riːd
think,考える,動,,No.101-125,,🔴,θɪŋk
walk,歩く,動,,No.101-125,,🔴,wɔːk
speak,話す,動,,No.101-125,,🔴,spíːk
run,走る,動,,No.101-125,,🔴,rʌn
study,勉強する,動,,No.101-125,,🔴,stʌdi
see,見る,動,,No.101-125,,🔴,siː
stand,立つ,動,,No.101-125,,🔴,stænd
Chinese,中国の,形,,No.126-150,Unit2,🔴,tʃàɪníːz
watch,見る,動,,No.126-150,,🔴,wɑtʃ
easy,簡単な,形,,No.126-150,,🔴,íːzi
famous,有名な,形,,No.126-150,Unit4,🔴,féɪməs
cloudy,くもりの,形,,No.126-150,,🔴,kláʊdi
cute,かわいい,形,,No.126-150,,🔴,kjúːt
work,働く,動,,No.126-150,,🔴,wɜːrk
wash,洗う,動,,No.101-150,,🔴,wɑʃ
put,置く,動,,No.101-150,,🔴,pʊt
take,取る,動,,No.101-150,,🔴,téɪk
talk,話す,動,,No.101-150,,🔴,tɔːk
want,〜したい,動,,No.101-150,,🔴,wɑnt
cold,寒い,形,,No.101-150,,🔴,kóʊld
all,すべての,形,,No.101-150,,🔴,ɔːl
every,毎〜,形,,No.101-150,,🔴,évri
delicious,おいしい,形,,No.101-150,,🔴,dɪlíʃəs
many,たくさんの,形,,No.151-175,,🔴,méni
high,高い,形,,No.151-175,,🔴,háɪ
old,古い,形,,No.151-175,,🔴,óʊld
Japanese,日本の,形,,No.151-175,,🔴,dʒæpəníːz
new,新しい,形,,No.151-175,,🔴,njúː
next,次の,形,,No.151-175,Unit3,🔴,nékst
slow,遅い,形,,No.176-200,,🔴,slóʊ
soft,柔らかい,形,,No.176-200,,🔴,sɔːft
sad,悲しい,形,,No.176-200,,🔴,sæd
tall,背が高い,形,,No.176-200,,🔴,tɔːl
sick,病気の,形,,No.176-200,,🔴,sɪk
tired,疲れた,形,,No.176-200,,🔴,táɪərd
young,若い,形,,No.176-200,,🔴,jʌŋ
always,いつも,副,,No.176-200,,🔴,ɔːlweɪz
smart,賢い,形,,No.176-200,,🔴,smɑːrt
little,少しの,形,,No.151-200,,🔴,lítl
long,長い,形,,No.151-200,,🔴,lɔːŋ
hungry,お腹がすいた,形,,No.151-200,,🔴,hʌŋgri
pretty,きれいな,形,,No.151-200,,🔴,príti
short,短い,形,,No.151-200,,🔴,ʃɔːrt
sunny,晴れの,形,,No.151-200,,🔴,sʌni
rainy,雨の,形,,No.151-200,,🔴,réɪni
windy,風の強い,形,,No.151-200,,🔴,wíndi
warm,暖かい,形,,No.151-200,,🔴,wɔːrm
today,今日,副,,No.201-225,,🔴,tədéɪ
late,遅れた,形,,No.201-225,Unit7,🔴,léɪt
please,どうか,副,,No.201-225,,🔴,plíːz
well,よく,副,,No.201-225,,🔴,wél
yesterday,昨日,副,,No.201-225,,🔴,jéstərdeɪ
tonight,今夜,副,,No.201-225,,🔴,tənáɪt
